"","dates","sp_all","abundance_cold"
"51","1996","Anas acuta",103687.5
"52","1997","Anas acuta",96250
"53","1998","Anas acuta",135406.25
"54","1999","Anas acuta",118125
"55","2000","Anas acuta",93843.75
"56","2001","Anas acuta",167781.25
"57","2002","Anas acuta",138906.25
"58","2003","Anas acuta",148750
"59","2004","Anas acuta",304062.5
"60","2005","Anas acuta",225312.5
"61","2006","Anas acuta",198406.25
"62","2007","Anas acuta",113531.25
"63","2008","Anas acuta",140437.5
"64","2009","Anas acuta",106312.5
"65","2010","Anas acuta",67156.25
"66","2011","Anas acuta",110468.75
"67","2012","Anas acuta",128625
"68","2013","Anas acuta",84656.25
"69","2014","Anas acuta",72625
"70","2015","Anas acuta",52062.5
"71","1981","Anas strepera",114312.5
"72","1982","Anas strepera",58125
"73","1983","Anas strepera",138725
"74","1984","Anas strepera",20925
"75","1985","Anas strepera",62193.75
"76","1986","Anas strepera",25962.5
"77","1987","Anas strepera",28481.25
"78","1988","Anas strepera",22668.75
"79","1989","Anas strepera",50956.25
"80","1990","Anas strepera",62968.75
"81","1991","Anas strepera",55218.75
"82","1992","Anas strepera",20343.75
"83","1993","Anas strepera",17437.5
"84","1994","Anas strepera",5037.5
"85","1995","Anas strepera",2325
"86","1996","Anas strepera",387.5
"87","1997","Anas strepera",8331.25
"88","1998","Anas strepera",775
"89","1999","Anas strepera",2906.25
"90","2000","Anas strepera",2325
"91","2001","Anas strepera",0
"92","2002","Anas strepera",0
"93","2003","Anas strepera",0
"94","2004","Anas strepera",0
"95","2005","Anas strepera",0
"96","2006","Anas strepera",387.5
"97","2007","Anas strepera",968.75
"98","2008","Anas strepera",2131.25
"99","2009","Anas strepera",16468.75
"100","2010","Anas strepera",18600
"101","2011","Anas strepera",6200
"102","2012","Anas strepera",11625
"103","2013","Anas strepera",1550
"104","2014","Anas strepera",775
"105","2015","Anas strepera",968.75
"106","1981","Anas penelope",3110
"107","1982","Anas penelope",777.5
"108","1983","Anas penelope",1555
"109","1984","Anas penelope",971.875
"110","1985","Anas penelope",2138.125
"111","1986","Anas penelope",1360.625
"112","1987","Anas penelope",1749.375
"113","1988","Anas penelope",3304.375
"114","1989","Anas penelope",1555
"115","1990","Anas penelope",2915.625
"116","1991","Anas penelope",1360.625
"117","1992","Anas penelope",1943.75
"118","1993","Anas penelope",583.125
"119","1994","Anas penelope",1166.25
"120","1995","Anas penelope",2721.25
"121","1996","Anas penelope",0
"122","1997","Anas penelope",194.375
"123","1998","Anas penelope",388.75
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",777.5
"127","2002","Anas penelope",777.5
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",583.125
"132","2007","Anas penelope",2915.625
"133","2008","Anas penelope",0
"134","2009","Anas penelope",583.125
"135","2010","Anas penelope",388.75
"136","2011","Anas penelope",971.875
"137","2012","Anas penelope",777.5
"138","2013","Anas penelope",971.875
"139","2014","Anas penelope",194.375
"140","2015","Anas penelope",971.875
"141","1981","Anas clypeata",43225
"142","1982","Anas clypeata",25200
"143","1983","Anas clypeata",35700
"144","1984","Anas clypeata",11025
"145","1985","Anas clypeata",62825
"146","1986","Anas clypeata",28700
"147","1987","Anas clypeata",19250
"148","1988","Anas clypeata",62125
"149","1989","Anas clypeata",41650
"150","1990","Anas clypeata",74375
"151","1991","Anas clypeata",196000
"152","1992","Anas clypeata",169750
"153","1993","Anas clypeata",156100
"154","1994","Anas clypeata",140700
"155","1995","Anas clypeata",139125
"156","1996","Anas clypeata",92750
"157","1997","Anas clypeata",72275
"158","1998","Anas clypeata",60375
"159","1999","Anas clypeata",69475
"160","2000","Anas clypeata",48650
"161","2001","Anas clypeata",98350
"162","2002","Anas clypeata",40950
"163","2003","Anas clypeata",34300
"164","2004","Anas clypeata",60900
"165","2005","Anas clypeata",85050
"166","2006","Anas clypeata",28000
"167","2007","Anas clypeata",142275
"168","2008","Anas clypeata",104650
"169","2009","Anas clypeata",109025
"170","2010","Anas clypeata",163100
"171","2011","Anas clypeata",160650
"172","2012","Anas clypeata",192850
"173","2013","Anas clypeata",127925
"174","2014","Anas clypeata",122150
"175","2015","Anas clypeata",239225
"176","1981","Anas crecca",308750
"177","1982","Anas crecca",225875
"178","1983","Anas crecca",279500
