"","dates","sp_all","abundance_cold"
"406","2001","Ardea cinerea",2268
"407","2002","Ardea cinerea",1522.75
"408","2003","Ardea cinerea",1499.75
"409","2004","Ardea cinerea",1399
"410","2005","Ardea cinerea",536
"411","2006","Ardea cinerea",410.75
"412","2007","Ardea cinerea",649.75
"413","2008","Ardea cinerea",174.5
"414","2009","Ardea cinerea",344.75
"415","2010","Ardea cinerea",291.5
"416","2011","Ardea cinerea",399.75
"417","2012","Ardea cinerea",158.5
"418","2013","Ardea cinerea",426.5
"419","2014","Ardea cinerea",43.75
"420","2015","Ardea cinerea",436.75
"421","1981","Nycticorax nycticorax",85.75
"422","1982","Nycticorax nycticorax",68.25
"423","1983","Nycticorax nycticorax",128.25
"424","1984","Nycticorax nycticorax",99
"425","1985","Nycticorax nycticorax",72.25
"426","1986","Nycticorax nycticorax",71
"427","1987","Nycticorax nycticorax",72
"428","1988","Nycticorax nycticorax",104
"429","1989","Nycticorax nycticorax",107
"430","1990","Nycticorax nycticorax",22.25
"431","1991","Nycticorax nycticorax",54.5
"432","1992","Nycticorax nycticorax",96.75
"433","1993","Nycticorax nycticorax",146
"434","1994","Nycticorax nycticorax",168.5
"435","1995","Nycticorax nycticorax",246
"436","1996","Nycticorax nycticorax",111
"437","1997","Nycticorax nycticorax",172.75
"438","1998","Nycticorax nycticorax",210
"439","1999","Nycticorax nycticorax",250.5
"440","2000","Nycticorax nycticorax",1217.5
"441","2001","Nycticorax nycticorax",242.25
"442","2002","Nycticorax nycticorax",288.25
"443","2003","Nycticorax nycticorax",408.5
"444","2004","Nycticorax nycticorax",641
"445","2005","Nycticorax nycticorax",324
"446","2006","Nycticorax nycticorax",146.75
"447","2007","Nycticorax nycticorax",257
"448","2008","Nycticorax nycticorax",70
"449","2009","Nycticorax nycticorax",93
"450","2010","Nycticorax nycticorax",66.5
"451","2011","Nycticorax nycticorax",191
"452","2012","Nycticorax nycticorax",189
"453","2013","Nycticorax nycticorax",249.25
"454","2014","Nycticorax nycticorax",527.25
"455","2015","Nycticorax nycticorax",503.25
"456","1981","Phalacrocorax carbo",2715
"457","1982","Phalacrocorax carbo",1170
"458","1983","Phalacrocorax carbo",2369.75
"459","1984","Phalacrocorax carbo",2070
"460","1985","Phalacrocorax carbo",4900
"461","1986","Phalacrocorax carbo",2836.25
"462","1987","Phalacrocorax carbo",6501.25
"463","1988","Phalacrocorax carbo",8515
"464","1989","Phalacrocorax carbo",15235
"465","1990","Phalacrocorax carbo",10937.5
"466","1991","Phalacrocorax carbo",9575
"467","1992","Phalacrocorax carbo",15417.5
"468","1993","Phalacrocorax carbo",13374.5
"469","1994","Phalacrocorax carbo",10842.75
"470","1995","Phalacrocorax carbo",10661.5
"471","1996","Phalacrocorax carbo",7400
"472","1997","Phalacrocorax carbo",7076
"473","1998","Phalacrocorax carbo",12686.5
"474","1999","Phalacrocorax carbo",10913.5
"475","2000","Phalacrocorax carbo",13621.25
"476","2001","Phalacrocorax carbo",8829
"477","2002","Phalacrocorax carbo",7818.25
"478","2003","Phalacrocorax carbo",8341
"479","2004","Phalacrocorax carbo",6362.5
"480","2005","Phalacrocorax carbo",1823.25
"481","2006","Phalacrocorax carbo",2944
"482","2007","Phalacrocorax carbo",4517.25
"483","2008","Phalacrocorax carbo",885.5
"484","2009","Phalacrocorax carbo",1491.25
"485","2010","Phalacrocorax carbo",3334
"486","2011","Phalacrocorax carbo",7644.75
"487","2012","Phalacrocorax carbo",4695.5
"488","2013","Phalacrocorax carbo",2365.5
"489","2014","Phalacrocorax carbo",4573.75
"490","2015","Phalacrocorax carbo",2637
"491","1981","Pluvialis squatarola",2005.25
"492","1982","Pluvialis squatarola",1926.75
"493","1983","Pluvialis squatarola",3495
"494","1984","Pluvialis squatarola",72
"495","1985","Pluvialis squatarola",1221.5
"496","1986","Pluvialis squatarola",770
"497","1987","Pluvialis squatarola",646.5
"498","1988","Pluvialis squatarola",0
"499","1989","Pluvialis squatarola",731.5
"500","1990","Pluvialis squatarola",4050.5
"501","1991","Pluvialis squatarola",310
"502","1992","Pluvialis squatarola",1360
"503","1993","Pluvialis squatarola",633.75
"504","1994","Pluvialis squatarola",0
"505","1995","Pluvialis squatarola",363
"506","1996","Pluvialis squatarola",0
"507","1997","Pluvialis squatarola",802.75
"508","1998","Pluvialis squatarola",2227.5
"509","1999","Pluvialis squatarola",1428.25
"510","2000","Pluvialis squatarola",513.5
"511","2001","Pluvialis squatarola",0
"512","2002","Pluvialis squatarola",695
"513","2003","Pluvialis squatarola",411
"514","2004","Pluvialis squatarola",1666.5
"515","2005","Pluvialis squatarola",1043.5
"516","2006","Pluvialis squatarola",8.25
"517","2007","Pluvialis squatarola",1233
"518","2008","Pluvialis squatarola",700.75
"519","2009","Pluvialis squatarola",533.5
"520","2010","Pluvialis squatarola",4050.5
"521","2011","Pluvialis squatarola",6812.25
"522","2012","Pluvialis squatarola",1769.25
"523","2013","Pluvialis squatarola",4171.25
"524","2014","Pluvialis squatarola",3930
"525","2015","Pluvialis squatarola",5052
"526","1981","Charadrius hiaticula",118
"527","1982","Charadrius hiaticula",225.75
"528","1983","Charadrius hiaticula",354
"529","1984","Charadrius hiaticula",0
"530","1985","Charadrius hiaticula",102.75
"531","1986","Charadrius hiaticula",167.5
"532","1987","Charadrius hiaticula",655
"533","1988","Charadrius hiaticula",0
"534","1989","Charadrius hiaticula",956.25
"535","1990","Charadrius hiaticula",806
"536","1991","Charadrius hiaticula",0
"537","1992","Charadrius hiaticula",563
"538","1993","Charadrius hiaticula",604.5
"539","1994","Charadrius hiaticula",80
"540","1995","Charadrius hiaticula",0
"541","1996","Charadrius hiaticula",0
"542","1997","Charadrius hiaticula",209.25
"543","1998","Charadrius hiaticula",1534
"544","1999","Charadrius hiaticula",0
"545","2000","Charadrius hiaticula",373
"546","2001","Charadrius hiaticula",0
"547","2002","Charadrius hiaticula",983
"548","2003","Charadrius hiaticula",197.5
"549","2004","Charadrius hiaticula",855.25
"550","2005","Charadrius hiaticula",2279.75
"551","2006","Charadrius hiaticula",33.25
"552","2007","Charadrius hiaticula",83.5
"553","2008","Charadrius hiaticula",417.5
"554","2009","Charadrius hiaticula",460.5
"555","2010","Charadrius hiaticula",381.5
"556","2011","Charadrius hiaticula",3084.75
"557","2012","Charadrius hiaticula",4096
"558","2013","Charadrius hiaticula",1208.75
"559","2014","Charadrius hiaticula",1400.5
"560","2015","Charadrius hiaticula",1140.5
"561","1981","Gallinago gallinago",845
"562","1982","Gallinago gallinago",372
"563","1983","Gallinago gallinago",1106.5
"564","1984","Gallinago gallinago",2442.5
"565","1985","Gallinago gallinago",2301.75
"566","1986","Gallinago gallinago",899.5
"567","1987","Gallinago gallinago",0
"568","1988","Gallinago gallinago",677.5
"569","1989","Gallinago gallinago",411.25
"570","1990","Gallinago gallinago",0
"571","1991","Gallinago gallinago",0
"572","1992","Gallinago gallinago",510
"573","1993","Gallinago gallinago",0
"574","1994","Gallinago gallinago",0
"575","1995","Gallinago gallinago",1650
"576","1996","Gallinago gallinago",0
"577","1997","Gallinago gallinago",0
"578","1998","Gallinago gallinago",420
"579","1999","Gallinago gallinago",0
"580","2000","Gallinago gallinago",1281
"581","2001","Gallinago gallinago",234
"582","2002","Gallinago gallinago",18.5
"583","2003","Gallinago gallinago",82
"584","2004","Gallinago gallinago",773.5
"585","2005","Gallinago gallinago",260.75
"586","2006","Gallinago gallinago",39.25
"587","2007","Gallinago gallinago",212
"588","2008","Gallinago gallinago",1106.75
"589","2009","Gallinago gallinago",493.5
"590","2010","Gallinago gallinago",433.5
"591","2011","Gallinago gallinago",165.75
"592","2012","Gallinago gallinago",336.75
"593","2013","Gallinago gallinago",779.75
"594","2014","Gallinago gallinago",439.75
"595","2015","Gallinago gallinago",589.75
"596","1981","Numenius arquata",6
"597","1982","Numenius arquata",6.75
"598","1983","Numenius arquata",0
"599","1984","Numenius arquata",0
"600","1985","Numenius arquata",0
"601","1986","Numenius arquata",0
"602","1987","Numenius arquata",360.75
"603","1988","Numenius arquata",0
"604","1989","Numenius arquata",70.5
"605","1990","Numenius arquata",16
"606","1991","Numenius arquata",0
"607","1992","Numenius arquata",0
"608","1993","Numenius arquata",9.75
"609","1994","Numenius arquata",0
"610","1995","Numenius arquata",14.5
"611","1996","Numenius arquata",0
"612","1997","Numenius arquata",0
"613","1998","Numenius arquata",10.25
"614","1999","Numenius arquata",0
"615","2000","Numenius arquata",10.5
"616","2001","Numenius arquata",0
"617","2002","Numenius arquata",0
"618","2003","Numenius arquata",66.5
"619","2004","Numenius arquata",0
"620","2005","Numenius arquata",0
"621","2006","Numenius arquata",0
"622","2007","Numenius arquata",149.25
"623","2008","Numenius arquata",78.25
"624","2009","Numenius arquata",1211.75
"625","2010","Numenius arquata",485.5
"626","2011","Numenius arquata",5472.25
"627","2012","Numenius arquata",15305.5
"628","2013","Numenius arquata",15909.5
"629","2014","Numenius arquata",12770.75
"630","2015","Numenius arquata",14901.5
"631","1981","Tringa nebularia",6
"632","1982","Tringa nebularia",20.25
"633","1983","Tringa nebularia",0
"634","1984","Tringa nebularia",0
"635","1985","Tringa nebularia",0
"636","1986","Tringa nebularia",0
"637","1987","Tringa nebularia",25.5
"638","1988","Tringa nebularia",0
"639","1989","Tringa nebularia",0
"640","1990","Tringa nebularia",0
"641","1991","Tringa nebularia",0
"642","1992","Tringa nebularia",0
"643","1993","Tringa nebularia",0
"644","1994","Tringa nebularia",0
"645","1995","Tringa nebularia",0
"646","1996","Tringa nebularia",0
"647","1997","Tringa nebularia",66.75
"648","1998","Tringa nebularia",51.25
"649","1999","Tringa nebularia",0
"650","2000","Tringa nebularia",171
"651","2001","Tringa nebularia",369
"652","2002","Tringa nebularia",370
"653","2003","Tringa nebularia",52.5
"654","2004","Tringa nebularia",76
"655","2005","Tringa nebularia",9.75
"656","2006","Tringa nebularia",6.75
"657","2007","Tringa nebularia",23.5
"658","2008","Tringa nebularia",727.5
"659","2009","Tringa nebularia",69.75
"660","2010","Tringa nebularia",222
"661","2011","Tringa nebularia",423.5
"662","2012","Tringa nebularia",535.5
"663","2013","Tringa nebularia",462.75
"664","2014","Tringa nebularia",176.75
"665","2015","Tringa nebularia",40.25
"666","1981","Calidris canutus",106.5
"667","1982","Calidris canutus",894.75
"668","1983","Calidris canutus",391.5
"669","1984","Calidris canutus",0
"670","1985","Calidris canutus",46.5
"671","1986","Calidris canutus",278.25
"672","1987","Calidris canutus",841
"673","1988","Calidris canutus",0
"674","1989","Calidris canutus",0
"675","1990","Calidris canutus",112.25
"676","1991","Calidris canutus",0
"677","1992","Calidris canutus",450.5
"678","1993","Calidris canutus",0
"679","1994","Calidris canutus",48
"680","1995","Calidris canutus",0
"681","1996","Calidris canutus",0
"682","1997","Calidris canutus",0
"683","1998","Calidris canutus",1124.25
"684","1999","Calidris canutus",60
"685","2000","Calidris canutus",391.5
"686","2001","Calidris canutus",0
"687","2002","Calidris canutus",1124
"688","2003","Calidris canutus",456
"689","2004","Calidris canutus",976
"690","2005","Calidris canutus",0
"691","2006","Calidris canutus",0
"692","2007","Calidris canutus",38.25
"693","2008","Calidris canutus",503.75
"694","2009","Calidris canutus",409
"695","2010","Calidris canutus",1248.5
"696","2011","Calidris canutus",3595
"697","2012","Calidris canutus",641.25
"698","2013","Calidris canutus",1309
"699","2014","Calidris canutus",158.5
"700","2015","Calidris canutus",114
"701","1981","Calidris alpina",122385
"702","1982","Calidris alpina",236250
"703","1983","Calidris alpina",302775
"704","1984","Calidris alpina",238525
"705","1985","Calidris alpina",76150
"706","1986","Calidris alpina",53675
"707","1987","Calidris alpina",226175
"708","1988","Calidris alpina",14950
"709","1989","Calidris alpina",160475
"710","1990","Calidris alpina",89762.5
"711","1991","Calidris alpina",4495
"712","1992","Calidris alpina",173975
"713","1993","Calidris alpina",37950
"714","1994","Calidris alpina",3100
"715","1995","Calidris alpina",478.5
"716","1996","Calidris alpina",16800
"717","1997","Calidris alpina",0
"718","1998","Calidris alpina",78075
"719","1999","Calidris alpina",17637.5
"720","2000","Calidris alpina",44100
"721","2001","Calidris alpina",3375
"722","2002","Calidris alpina",17745
"723","2003","Calidris alpina",19675
"724","2004","Calidris alpina",59100
"725","2005","Calidris alpina",46150
"726","2006","Calidris alpina",867.5
"727","2007","Calidris alpina",50807.5
"728","2008","Calidris alpina",5004.5
"729","2009","Calidris alpina",32315
"730","2010","Calidris alpina",55013
"731","2011","Calidris alpina",222609.5
"732","2012","Calidris alpina",157043
"733","2013","Calidris alpina",77544
"734","2014","Calidris alpina",136694.25
"735","2015","Calidris alpina",102988
"736","1981","Anas querquedula",0
"737","1982","Anas querquedula",6.75
"738","1983","Anas querquedula",8
"739","1984","Anas querquedula",0
"740","1985","Anas querquedula",0
"741","1986","Anas querquedula",0
"742","1987","Anas querquedula",0
"743","1988","Anas querquedula",0
"744","1989","Anas querquedula",0
"745","1990","Anas querquedula",0
"746","1991","Anas querquedula",0
"747","1992","Anas querquedula",0
"748","1993","Anas querquedula",0
"749","1994","Anas querquedula",0
"750","1995","Anas querquedula",0
"751","1996","Anas querquedula",0
"752","1997","Anas querquedula",0
"753","1998","Anas querquedula",0
"754","1999","Anas querquedula",0
"755","2000","Anas querquedula",0
"756","2001","Anas querquedula",0
"757","2002","Anas querquedula",0
"758","2003","Anas querquedula",0
