"","dates","sp_all","abundance_warm"
"53","1998","Anas acuta",4375
"54","1999","Anas acuta",1531.25
"55","2000","Anas acuta",3500
"56","2001","Anas acuta",3937.5
"57","2002","Anas acuta",1312.5
"58","2003","Anas acuta",1968.75
"59","2004","Anas acuta",2843.75
"60","2005","Anas acuta",1531.25
"61","2006","Anas acuta",1968.75
"62","2007","Anas acuta",1968.75
"63","2008","Anas acuta",1093.75
"64","2009","Anas acuta",218.75
"65","2010","Anas acuta",0
"66","2011","Anas acuta",1312.5
"67","2012","Anas acuta",875
"68","2013","Anas acuta",1093.75
"69","2014","Anas acuta",1093.75
"70","2015","Anas acuta",1312.5
"71","1981","Anas strepera",6587.5
"72","1982","Anas strepera",1550
"73","1983","Anas strepera",2518.75
"74","1984","Anas strepera",1743.75
"75","1985","Anas strepera",2325
"76","1986","Anas strepera",7168.75
"77","1987","Anas strepera",0
"78","1988","Anas strepera",0
"79","1989","Anas strepera",2712.5
"80","1990","Anas strepera",2906.25
"81","1991","Anas strepera",3875
"82","1992","Anas strepera",2325
"83","1993","Anas strepera",6200
"84","1994","Anas strepera",3100
"85","1995","Anas strepera",8525
"86","1996","Anas strepera",1162.5
"87","1997","Anas strepera",4262.5
"88","1998","Anas strepera",1356.25
"89","1999","Anas strepera",2325
"90","2000","Anas strepera",3100
"91","2001","Anas strepera",968.75
"92","2002","Anas strepera",193.75
"93","2003","Anas strepera",1162.5
"94","2004","Anas strepera",0
"95","2005","Anas strepera",775
"96","2006","Anas strepera",1937.5
"97","2007","Anas strepera",193.75
"98","2008","Anas strepera",1550
"99","2009","Anas strepera",2712.5
"100","2010","Anas strepera",193.75
"101","2011","Anas strepera",1162.5
"102","2012","Anas strepera",7362.5
"103","2013","Anas strepera",3681.25
"104","2014","Anas strepera",193.75
"105","2015","Anas strepera",1162.5
"106","1981","Anas penelope",1360.625
"107","1982","Anas penelope",583.125
"108","1983","Anas penelope",2526.875
"109","1984","Anas penelope",1166.25
"110","1985","Anas penelope",777.5
"111","1986","Anas penelope",2526.875
"112","1987","Anas penelope",0
"113","1988","Anas penelope",0
"114","1989","Anas penelope",777.5
"115","1990","Anas penelope",194.375
"116","1991","Anas penelope",777.5
"117","1992","Anas penelope",583.125
"118","1993","Anas penelope",1166.25
"119","1994","Anas penelope",388.75
"120","1995","Anas penelope",0
"121","1996","Anas penelope",194.375
"122","1997","Anas penelope",0
"123","1998","Anas penelope",0
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",0
"127","2002","Anas penelope",0
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",0
"132","2007","Anas penelope",0
"133","2008","Anas penelope",0
"134","2009","Anas penelope",0
"135","2010","Anas penelope",0
"136","2011","Anas penelope",0
"137","2012","Anas penelope",0
"138","2013","Anas penelope",971.875
"139","2014","Anas penelope",0
"140","2015","Anas penelope",0
"141","1981","Anas clypeata",10150
"142","1982","Anas clypeata",4725
"143","1983","Anas clypeata",7175
"144","1984","Anas clypeata",3675
"145","1985","Anas clypeata",9100
"146","1986","Anas clypeata",5775
"147","1987","Anas clypeata",2100
"148","1988","Anas clypeata",8750
"149","1989","Anas clypeata",5075
"150","1990","Anas clypeata",7525
"151","1991","Anas clypeata",4375
"152","1992","Anas clypeata",9450
"153","1993","Anas clypeata",7525
"154","1994","Anas clypeata",7700
"155","1995","Anas clypeata",7700
"156","1996","Anas clypeata",4725
"157","1997","Anas clypeata",3850
"158","1998","Anas clypeata",1925
"159","1999","Anas clypeata",13300
"160","2000","Anas clypeata",12075
"161","2001","Anas clypeata",5600
"162","2002","Anas clypeata",5775
"163","2003","Anas clypeata",4025
"164","2004","Anas clypeata",2975
"165","2005","Anas clypeata",0
"166","2006","Anas clypeata",2800
"167","2007","Anas clypeata",3150
"168","2008","Anas clypeata",2800
"169","2009","Anas clypeata",4200
"170","2010","Anas clypeata",6475
"171","2011","Anas clypeata",1750
"172","2012","Anas clypeata",4725
"173","2013","Anas clypeata",9975
"174","2014","Anas clypeata",6825
"175","2015","Anas clypeata",4375
"176","1981","Anas crecca",4550
"177","1982","Anas crecca",3331.25
"178","1983","Anas crecca",26487.5
"179","1984","Anas crecca",8450
"180","1985","Anas crecca",2518.75
"181","1986","Anas crecca",6093.75
"182","1987","Anas crecca",731.25
"183","1988","Anas crecca",3493.75
"184","1989","Anas crecca",4387.5
"185","1990","Anas crecca",2843.75
"186","1991","Anas crecca",3006.25
"187","1992","Anas crecca",3412.5
"188","1993","Anas crecca",3981.25
"189","1994","Anas crecca",3575
"190","1995","Anas crecca",2762.5
"191","1996","Anas crecca",1381.25
"192","1997","Anas crecca",6418.75
"193","1998","Anas crecca",8287.5
"194","1999","Anas crecca",2437.5
"195","2000","Anas crecca",3575
"196","2001","Anas crecca",5362.5
"197","2002","Anas crecca",6337.5
"198","2003","Anas crecca",1543.75
"199","2004","Anas crecca",7637.5
"200","2005","Anas crecca",650
"201","2006","Anas crecca",2193.75
"202","2007","Anas crecca",4225
"203","2008","Anas crecca",1381.25
"204","2009","Anas crecca",6825
"205","2010","Anas crecca",5606.25
"206","2011","Anas crecca",2356.25
"207","2012","Anas crecca",6662.5
"208","2013","Anas crecca",12918.75
"209","2014","Anas crecca",3087.5
"210","2015","Anas crecca",2518.75
"211","1981","Anas querquedula",877.5
"212","1982","Anas querquedula",390
"213","1983","Anas querquedula",780
"214","1984","Anas querquedula",585
"215","1985","Anas querquedula",780
"216","1986","Anas querquedula",195
"217","1987","Anas querquedula",0
"218","1988","Anas querquedula",877.5
"219","1989","Anas querquedula",195
"220","1990","Anas querquedula",0
"221","1991","Anas querquedula",97.5
"222","1992","Anas querquedula",975
"223","1993","Anas querquedula",195
"224","1994","Anas querquedula",682.5
"225","1995","Anas querquedula",585
"226","1996","Anas querquedula",390
"227","1997","Anas querquedula",975
"228","1998","Anas querquedula",0
"229","1999","Anas querquedula",585
"230","2000","Anas querquedula",877.5
"231","2001","Anas querquedula",975
"232","2002","Anas querquedula",390
"233","2003","Anas querquedula",0
"234","2004","Anas querquedula",585
"235","2005","Anas querquedula",0
"236","2006","Anas querquedula",0
"237","2007","Anas querquedula",0
"238","2008","Anas querquedula",195
"239","2009","Anas querquedula",780
"240","2010","Anas querquedula",0
"241","2011","Anas querquedula",0
"242","2012","Anas querquedula",97.5
"243","2013","Anas querquedula",1170
"244","2014","Anas querquedula",195
"245","2015","Anas querquedula",0
