"","dates","sp_all","abundance_warm"
"65","2010","Anas acuta",0
"66","2011","Anas acuta",1.5
"67","2012","Anas acuta",1
"68","2013","Anas acuta",1.25
"69","2014","Anas acuta",1.25
"70","2015","Anas acuta",1.5
"71","1981","Anas strepera",8.5
"72","1982","Anas strepera",2
"73","1983","Anas strepera",3.25
"74","1984","Anas strepera",2.25
"75","1985","Anas strepera",3
"76","1986","Anas strepera",9.25
"77","1987","Anas strepera",0
"78","1988","Anas strepera",0
"79","1989","Anas strepera",3.5
"80","1990","Anas strepera",3.75
"81","1991","Anas strepera",5
"82","1992","Anas strepera",3
"83","1993","Anas strepera",8
"84","1994","Anas strepera",4
"85","1995","Anas strepera",11
"86","1996","Anas strepera",1.5
"87","1997","Anas strepera",5.5
"88","1998","Anas strepera",1.75
"89","1999","Anas strepera",3
"90","2000","Anas strepera",4
"91","2001","Anas strepera",1.25
"92","2002","Anas strepera",0.25
"93","2003","Anas strepera",1.5
"94","2004","Anas strepera",0
"95","2005","Anas strepera",1
"96","2006","Anas strepera",2.5
"97","2007","Anas strepera",0.25
"98","2008","Anas strepera",2
"99","2009","Anas strepera",3.5
"100","2010","Anas strepera",0.25
"101","2011","Anas strepera",1.5
"102","2012","Anas strepera",9.5
"103","2013","Anas strepera",4.75
"104","2014","Anas strepera",0.25
"105","2015","Anas strepera",1.5
"106","1981","Anas penelope",1.75
"107","1982","Anas penelope",0.75
"108","1983","Anas penelope",3.25
"109","1984","Anas penelope",1.5
"110","1985","Anas penelope",1
"111","1986","Anas penelope",3.25
"112","1987","Anas penelope",0
"113","1988","Anas penelope",0
"114","1989","Anas penelope",1
"115","1990","Anas penelope",0.25
"116","1991","Anas penelope",1
"117","1992","Anas penelope",0.75
"118","1993","Anas penelope",1.5
"119","1994","Anas penelope",0.5
"120","1995","Anas penelope",0
"121","1996","Anas penelope",0.25
"122","1997","Anas penelope",0
"123","1998","Anas penelope",0
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",0
"127","2002","Anas penelope",0
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",0
"132","2007","Anas penelope",0
"133","2008","Anas penelope",0
"134","2009","Anas penelope",0
"135","2010","Anas penelope",0
"136","2011","Anas penelope",0
"137","2012","Anas penelope",0
"138","2013","Anas penelope",1.25
"139","2014","Anas penelope",0
"140","2015","Anas penelope",0
"141","1981","Anas clypeata",14.5
"142","1982","Anas clypeata",6.75
"143","1983","Anas clypeata",10.25
"144","1984","Anas clypeata",5.25
"145","1985","Anas clypeata",13
"146","1986","Anas clypeata",8.25
"147","1987","Anas clypeata",3
"148","1988","Anas clypeata",12.5
"149","1989","Anas clypeata",7.25
"150","1990","Anas clypeata",10.75
"151","1991","Anas clypeata",6.25
"152","1992","Anas clypeata",13.5
"153","1993","Anas clypeata",10.75
"154","1994","Anas clypeata",11
"155","1995","Anas clypeata",11
"156","1996","Anas clypeata",6.75
"157","1997","Anas clypeata",5.5
"158","1998","Anas clypeata",2.75
"159","1999","Anas clypeata",19
"160","2000","Anas clypeata",17.25
"161","2001","Anas clypeata",8
"162","2002","Anas clypeata",8.25
"163","2003","Anas clypeata",5.75
"164","2004","Anas clypeata",4.25
"165","2005","Anas clypeata",0
"166","2006","Anas clypeata",4
"167","2007","Anas clypeata",4.5
"168","2008","Anas clypeata",4
"169","2009","Anas clypeata",6
"170","2010","Anas clypeata",9.25
"171","2011","Anas clypeata",2.5
"172","2012","Anas clypeata",6.75
"173","2013","Anas clypeata",14.25
"174","2014","Anas clypeata",9.75
"175","2015","Anas clypeata",6.25
"176","1981","Anas crecca",14
"177","1982","Anas crecca",10.25
"178","1983","Anas crecca",81.5
"179","1984","Anas crecca",26
"180","1985","Anas crecca",7.75
"181","1986","Anas crecca",18.75
"182","1987","Anas crecca",2.25
"183","1988","Anas crecca",10.75
"184","1989","Anas crecca",13.5
"185","1990","Anas crecca",8.75
"186","1991","Anas crecca",9.25
"187","1992","Anas crecca",10.5
"188","1993","Anas crecca",12.25
"189","1994","Anas crecca",11
"190","1995","Anas crecca",8.5
"191","1996","Anas crecca",4.25
"192","1997","Anas crecca",19.75
"193","1998","Anas crecca",25.5
"194","1999","Anas crecca",7.5
"195","2000","Anas crecca",11
"196","2001","Anas crecca",16.5
"197","2002","Anas crecca",19.5
"198","2003","Anas crecca",4.75
"199","2004","Anas crecca",23.5
"200","2005","Anas crecca",2
"201","2006","Anas crecca",6.75
"202","2007","Anas crecca",13
"203","2008","Anas crecca",4.25
"204","2009","Anas crecca",21
"205","2010","Anas crecca",17.25
"206","2011","Anas crecca",7.25
"207","2012","Anas crecca",20.5
"208","2013","Anas crecca",39.75
"209","2014","Anas crecca",9.5
"210","2015","Anas crecca",7.75
"211","1981","Aythya ferina",14.5
"212","1982","Aythya ferina",7.5
"213","1983","Aythya ferina",8.75
"214","1984","Aythya ferina",11.75
"215","1985","Aythya ferina",8
"216","1986","Aythya ferina",11
"217","1987","Aythya ferina",4
"218","1988","Aythya ferina",6.25
"219","1989","Aythya ferina",14.25
"220","1990","Aythya ferina",5.5
"221","1991","Aythya ferina",6
"222","1992","Aythya ferina",7.75
"223","1993","Aythya ferina",10.5
"224","1994","Aythya ferina",6.25
"225","1995","Aythya ferina",6.25
"226","1996","Aythya ferina",11.75
"227","1997","Aythya ferina",3.5
"228","1998","Aythya ferina",7
"229","1999","Aythya ferina",11
"230","2000","Aythya ferina",5
"231","2001","Aythya ferina",15.5
"232","2002","Aythya ferina",3.5
"233","2003","Aythya ferina",15.25
"234","2004","Aythya ferina",7.25
"235","2005","Aythya ferina",0.75
"236","2006","Aythya ferina",12.25
"237","2007","Aythya ferina",3.25
"238","2008","Aythya ferina",0
"239","2009","Aythya ferina",1.5
"240","2010","Aythya ferina",0.25
"241","2011","Aythya ferina",0
"242","2012","Aythya ferina",1.5
"243","2013","Aythya ferina",0.5
"244","2014","Aythya ferina",1.25
"245","2015","Aythya ferina",0
"246","1981","Aythya fuligula",4.75
"247","1982","Aythya fuligula",4
"248","1983","Aythya fuligula",3.5
"249","1984","Aythya fuligula",3.75
"250","1985","Aythya fuligula",7.75
"251","1986","Aythya fuligula",5.25
"252","1987","Aythya fuligula",1.75
"253","1988","Aythya fuligula",5.25
"254","1989","Aythya fuligula",3
"255","1990","Aythya fuligula",0.75
"256","1991","Aythya fuligula",0
"257","1992","Aythya fuligula",0.5
"258","1993","Aythya fuligula",2.25
"259","1994","Aythya fuligula",1.5
"260","1995","Aythya fuligula",0.75
"261","1996","Aythya fuligula",0.75
"262","1997","Aythya fuligula",2.75
"263","1998","Aythya fuligula",1
"264","1999","Aythya fuligula",0
"265","2000","Aythya fuligula",3
"266","2001","Aythya fuligula",0
"267","2002","Aythya fuligula",0
"268","2003","Aythya fuligula",2
"269","2004","Aythya fuligula",0
"270","2005","Aythya fuligula",0
"271","2006","Aythya fuligula",0
"272","2007","Aythya fuligula",0
"273","2008","Aythya fuligula",0
"274","2009","Aythya fuligula",0
"275","2010","Aythya fuligula",0
"276","2011","Aythya fuligula",0
"277","2012","Aythya fuligula",0.25
"278","2013","Aythya fuligula",0
"279","2014","Aythya fuligula",0
"280","2015","Aythya fuligula",0.5
"281","1981","Netta rufina",2.75
"282","1982","Netta rufina",1
"283","1983","Netta rufina",3.5
"284","1984","Netta rufina",6
"285","1985","Netta rufina",3
"286","1986","Netta rufina",4
"287","1987","Netta rufina",2.75
"288","1988","Netta rufina",2
"289","1989","Netta rufina",19.25
"290","1990","Netta rufina",4.25
"291","1991","Netta rufina",7
"292","1992","Netta rufina",1.5
"293","1993","Netta rufina",4.75
"294","1994","Netta rufina",10.5
"295","1995","Netta rufina",2
"296","1996","Netta rufina",0
"297","1997","Netta rufina",0
"298","1998","Netta rufina",0
"299","1999","Netta rufina",0
"300","2000","Netta rufina",0
"301","2001","Netta rufina",0
"302","2002","Netta rufina",0
"303","2003","Netta rufina",0
"304","2004","Netta rufina",0
"305","2005","Netta rufina",0
"306","2006","Netta rufina",0
"307","2007","Netta rufina",0
"308","2008","Netta rufina",0
"309","2009","Netta rufina",0
"310","2010","Netta rufina",0
"311","2011","Netta rufina",0
"312","2012","Netta rufina",0
"313","2013","Netta rufina",0
"314","2014","Netta rufina",0
"315","2015","Netta rufina",0
"316","1981","Tadorna tadorna",2.75
"317","1982","Tadorna tadorna",12.25
"318","1983","Tadorna tadorna",19.25
"319","1984","Tadorna tadorna",23
"320","1985","Tadorna tadorna",19.75
"321","1986","Tadorna tadorna",27.25
"322","1987","Tadorna tadorna",0.25
"323","1988","Tadorna tadorna",15
"324","1989","Tadorna tadorna",36
"325","1990","Tadorna tadorna",12.5
"326","1991","Tadorna tadorna",24.75
"327","1992","Tadorna tadorna",15.75
"328","1993","Tadorna tadorna",17.25
"329","1994","Tadorna tadorna",13.25
"330","1995","Tadorna tadorna",19.75
"331","1996","Tadorna tadorna",16.5
"332","1997","Tadorna tadorna",15.75
"333","1998","Tadorna tadorna",8.75
"334","1999","Tadorna tadorna",40.5
"335","2000","Tadorna tadorna",41.75
"336","2001","Tadorna tadorna",17.5
"337","2002","Tadorna tadorna",22
"338","2003","Tadorna tadorna",28.5
"339","2004","Tadorna tadorna",69.5
"340","2005","Tadorna tadorna",24
"341","2006","Tadorna tadorna",70.5
"342","2007","Tadorna tadorna",33.5
"343","2008","Tadorna tadorna",26.75
"344","2009","Tadorna tadorna",38
"345","2010","Tadorna tadorna",41.25
"346","2011","Tadorna tadorna",63.75
"347","2012","Tadorna tadorna",102.75
"348","2013","Tadorna tadorna",102
"349","2014","Tadorna tadorna",84
"350","2015","Tadorna tadorna",115
"351","1981","Fulica atra",197.5
"352","1982","Fulica atra",310
"353","1983","Fulica atra",445.5
"354","1984","Fulica atra",259.5
"355","1985","Fulica atra",290.25
"356","1986","Fulica atra",280.75
"357","1987","Fulica atra",92.5
"358","1988","Fulica atra",243.75
"359","1989","Fulica atra",517.5
"360","1990","Fulica atra",232.5
"361","1991","Fulica atra",172.5
"362","1992","Fulica atra",343.75
"363","1993","Fulica atra",500.5
"364","1994","Fulica atra",702.5
"365","1995","Fulica atra",603.75
"366","1996","Fulica atra",490
"367","1997","Fulica atra",297
"368","1998","Fulica atra",307.75
"369","1999","Fulica atra",328.5
"370","2000","Fulica atra",563.25
"371","2001","Fulica atra",845.5
"372","2002","Fulica atra",622.5
"373","2003","Fulica atra",711
"374","2004","Fulica atra",494
"375","2005","Fulica atra",333.75
"376","2006","Fulica atra",423.75
"377","2007","Fulica atra",355.5
"378","2008","Fulica atra",448.75
"379","2009","Fulica atra",443
"380","2010","Fulica atra",477.75
"381","2011","Fulica atra",435.25
"382","2012","Fulica atra",337
"383","2013","Fulica atra",412.5
"384","2014","Fulica atra",206
"385","2015","Fulica atra",221.5
"386","1981","Ardea cinerea",18
"387","1982","Ardea cinerea",65.5
"388","1983","Ardea cinerea",106
"389","1984","Ardea cinerea",225.75
"390","1985","Ardea cinerea",267.75
"391","1986","Ardea cinerea",265
"392","1987","Ardea cinerea",20.5
"393","1988","Ardea cinerea",450
"394","1989","Ardea cinerea",445
"395","1990","Ardea cinerea",471.25
"396","1991","Ardea cinerea",355
"397","1992","Ardea cinerea",375
"398","1993","Ardea cinerea",407.5
"399","1994","Ardea cinerea",402.5
"400","1995","Ardea cinerea",342.5
"401","1996","Ardea cinerea",335
"402","1997","Ardea cinerea",320.75
"403","1998","Ardea cinerea",357.5
"404","1999","Ardea cinerea",150.25
"405","2000","Ardea cinerea",313.75
"406","2001","Ardea cinerea",143
"407","2002","Ardea cinerea",187.5
"408","2003","Ardea cinerea",230.25
"409","2004","Ardea cinerea",119.5
"410","2005","Ardea cinerea",63.5
"411","2006","Ardea cinerea",61.75
"412","2007","Ardea cinerea",25.25
"413","2008","Ardea cinerea",12.5
"414","2009","Ardea cinerea",24.75
"415","2010","Ardea cinerea",15.5
"416","2011","Ardea cinerea",7.5
"417","2012","Ardea cinerea",9.5
"418","2013","Ardea cinerea",15.75
"419","2014","Ardea cinerea",8.75
"420","2015","Ardea cinerea",9.25
"421","1981","Nycticorax nycticorax",13.75
"422","1982","Nycticorax nycticorax",32.25
"423","1983","Nycticorax nycticorax",20.5
"424","1984","Nycticorax nycticorax",9
"425","1985","Nycticorax nycticorax",25.5
"426","1986","Nycticorax nycticorax",14.5
"427","1987","Nycticorax nycticorax",1.5
"428","1988","Nycticorax nycticorax",12
"429","1989","Nycticorax nycticorax",20.5
"430","1990","Nycticorax nycticorax",8
"431","1991","Nycticorax nycticorax",4.25
"432","1992","Nycticorax nycticorax",5.5
"433","1993","Nycticorax nycticorax",6
"434","1994","Nycticorax nycticorax",9
"435","1995","Nycticorax nycticorax",10
"436","1996","Nycticorax nycticorax",6.5
"437","1997","Nycticorax nycticorax",14.5
"438","1998","Nycticorax nycticorax",7.5
"439","1999","Nycticorax nycticorax",27.25
"440","2000","Nycticorax nycticorax",7.75
"441","2001","Nycticorax nycticorax",33.75
"442","2002","Nycticorax nycticorax",13
"443","2003","Nycticorax nycticorax",7
"444","2004","Nycticorax nycticorax",9.5
"445","2005","Nycticorax nycticorax",11
"446","2006","Nycticorax nycticorax",6.25
"447","2007","Nycticorax nycticorax",4.25
"448","2008","Nycticorax nycticorax",1.5
"449","2009","Nycticorax nycticorax",3.75
"450","2010","Nycticorax nycticorax",2.5
"451","2011","Nycticorax nycticorax",0.5
"452","2012","Nycticorax nycticorax",3.5
"453","2013","Nycticorax nycticorax",7
"454","2014","Nycticorax nycticorax",5.25
"455","2015","Nycticorax nycticorax",3.25
"456","1981","Phalacrocorax carbo",3.75
"457","1982","Phalacrocorax carbo",3
"458","1983","Phalacrocorax carbo",14.25
"459","1984","Phalacrocorax carbo",19.5
"460","1985","Phalacrocorax carbo",4.25
"461","1986","Phalacrocorax carbo",1.25
"462","1987","Phalacrocorax carbo",0.75
"463","1988","Phalacrocorax carbo",23
"464","1989","Phalacrocorax carbo",47.5
"465","1990","Phalacrocorax carbo",92
"466","1991","Phalacrocorax carbo",78
"467","1992","Phalacrocorax carbo",102.25
"468","1993","Phalacrocorax carbo",222.75
"469","1994","Phalacrocorax carbo",111.5
"470","1995","Phalacrocorax carbo",69.5
"471","1996","Phalacrocorax carbo",143.25
"472","1997","Phalacrocorax carbo",182.5
"473","1998","Phalacrocorax carbo",346
"474","1999","Phalacrocorax carbo",343.75
"475","2000","Phalacrocorax carbo",392
"476","2001","Phalacrocorax carbo",406
"477","2002","Phalacrocorax carbo",352
"478","2003","Phalacrocorax carbo",451
"479","2004","Phalacrocorax carbo",305.75
"480","2005","Phalacrocorax carbo",156
"481","2006","Phalacrocorax carbo",410.5
"482","2007","Phalacrocorax carbo",308.75
"483","2008","Phalacrocorax carbo",138.25
"484","2009","Phalacrocorax carbo",54
"485","2010","Phalacrocorax carbo",52
"486","2011","Phalacrocorax carbo",18.75
"487","2012","Phalacrocorax carbo",53.5
"488","2013","Phalacrocorax carbo",70.5
"489","2014","Phalacrocorax carbo",63
"490","2015","Phalacrocorax carbo",27.75
"491","1981","Pluvialis squatarola",2.25
"492","1982","Pluvialis squatarola",5.5
"493","1983","Pluvialis squatarola",24.75
"494","1984","Pluvialis squatarola",56.25
"495","1985","Pluvialis squatarola",13.25
"496","1986","Pluvialis squatarola",11.25
"497","1987","Pluvialis squatarola",2
"498","1988","Pluvialis squatarola",0
"499","1989","Pluvialis squatarola",1
"500","1990","Pluvialis squatarola",4.5
"501","1991","Pluvialis squatarola",25.5
"502","1992","Pluvialis squatarola",1.25
"503","1993","Pluvialis squatarola",4.75
"504","1994","Pluvialis squatarola",2.5
"505","1995","Pluvialis squatarola",39
"506","1996","Pluvialis squatarola",32.25
"507","1997","Pluvialis squatarola",0
"508","1998","Pluvialis squatarola",0
"509","1999","Pluvialis squatarola",16.25
"510","2000","Pluvialis squatarola",4.5
"511","2001","Pluvialis squatarola",1
"512","2002","Pluvialis squatarola",3
"513","2003","Pluvialis squatarola",1
"514","2004","Pluvialis squatarola",1.75
"515","2005","Pluvialis squatarola",0
"516","2006","Pluvialis squatarola",0
"517","2007","Pluvialis squatarola",5.5
"518","2008","Pluvialis squatarola",45
"519","2009","Pluvialis squatarola",9.5
"520","2010","Pluvialis squatarola",17
"521","2011","Pluvialis squatarola",32.75
"522","2012","Pluvialis squatarola",130.75
"523","2013","Pluvialis squatarola",98.5
"524","2014","Pluvialis squatarola",121.25
"525","2015","Pluvialis squatarola",134.5
"526","1981","Charadrius hiaticula",47
"527","1982","Charadrius hiaticula",7.25
"528","1983","Charadrius hiaticula",91.5
"529","1984","Charadrius hiaticula",87
"530","1985","Charadrius hiaticula",12.25
"531","1986","Charadrius hiaticula",20
"532","1987","Charadrius hiaticula",17.75
"533","1988","Charadrius hiaticula",16.25
"534","1989","Charadrius hiaticula",22
"535","1990","Charadrius hiaticula",37
"536","1991","Charadrius hiaticula",59.75
"537","1992","Charadrius hiaticula",19.5
"538","1993","Charadrius hiaticula",5.5
"539","1994","Charadrius hiaticula",19.25
"540","1995","Charadrius hiaticula",27.25
"541","1996","Charadrius hiaticula",25.75
"542","1997","Charadrius hiaticula",8
"543","1998","Charadrius hiaticula",0
"544","1999","Charadrius hiaticula",33.75
"545","2000","Charadrius hiaticula",24
"546","2001","Charadrius hiaticula",15.25
"547","2002","Charadrius hiaticula",20
"548","2003","Charadrius hiaticula",22.5
"549","2004","Charadrius hiaticula",2.75
"550","2005","Charadrius hiaticula",0
"551","2006","Charadrius hiaticula",1.75
"552","2007","Charadrius hiaticula",136.75
"553","2008","Charadrius hiaticula",96.5
"554","2009","Charadrius hiaticula",49.5
"555","2010","Charadrius hiaticula",268.75
"556","2011","Charadrius hiaticula",154
"557","2012","Charadrius hiaticula",143.5
"558","2013","Charadrius hiaticula",93.5
"559","2014","Charadrius hiaticula",238
"560","2015","Charadrius hiaticula",46.25
"561","1981","Gallinago gallinago",1.25
"562","1982","Gallinago gallinago",0.75
"563","1983","Gallinago gallinago",1.75
"564","1984","Gallinago gallinago",1.25
"565","1985","Gallinago gallinago",1.75
"566","1986","Gallinago gallinago",1
"567","1987","Gallinago gallinago",0.25
"568","1988","Gallinago gallinago",2.75
"569","1989","Gallinago gallinago",0.25
"570","1990","Gallinago gallinago",0
"571","1991","Gallinago gallinago",0
"572","1992","Gallinago gallinago",0
"573","1993","Gallinago gallinago",0
"574","1994","Gallinago gallinago",0
"575","1995","Gallinago gallinago",0
"576","1996","Gallinago gallinago",0
"577","1997","Gallinago gallinago",0
"578","1998","Gallinago gallinago",0
"579","1999","Gallinago gallinago",0
"580","2000","Gallinago gallinago",0
"581","2001","Gallinago gallinago",10.25
"582","2002","Gallinago gallinago",0
"583","2003","Gallinago gallinago",0
"584","2004","Gallinago gallinago",0
"585","2005","Gallinago gallinago",0
"586","2006","Gallinago gallinago",0
"587","2007","Gallinago gallinago",2.25
"588","2008","Gallinago gallinago",0
"589","2009","Gallinago gallinago",0
"590","2010","Gallinago gallinago",0.25
"591","2011","Gallinago gallinago",0
"592","2012","Gallinago gallinago",0.75
"593","2013","Gallinago gallinago",4.5
"594","2014","Gallinago gallinago",1.5
"595","2015","Gallinago gallinago",0.75
"596","1981","Numenius arquata",0.25
"597","1982","Numenius arquata",0
"598","1983","Numenius arquata",0.25
"599","1984","Numenius arquata",0.25
"600","1985","Numenius arquata",0
"601","1986","Numenius arquata",0
"602","1987","Numenius arquata",0
"603","1988","Numenius arquata",0.25
"604","1989","Numenius arquata",0.25
"605","1990","Numenius arquata",0
"606","1991","Numenius arquata",0
"607","1992","Numenius arquata",0
"608","1993","Numenius arquata",0
"609","1994","Numenius arquata",0
"610","1995","Numenius arquata",1.25
"611","1996","Numenius arquata",0.25
"612","1997","Numenius arquata",0
"613","1998","Numenius arquata",0
"614","1999","Numenius arquata",0
"615","2000","Numenius arquata",0
"616","2001","Numenius arquata",0
"617","2002","Numenius arquata",0
"618","2003","Numenius arquata",0
"619","2004","Numenius arquata",0
"620","2005","Numenius arquata",0
"621","2006","Numenius arquata",0
"622","2007","Numenius arquata",2.25
"623","2008","Numenius arquata",31.75
"624","2009","Numenius arquata",0.5
"625","2010","Numenius arquata",3.75
"626","2011","Numenius arquata",0
"627","2012","Numenius arquata",249.25
"628","2013","Numenius arquata",367.25
"629","2014","Numenius arquata",495.25
"630","2015","Numenius arquata",415
"631","1981","Tringa nebularia",0.5
"632","1982","Tringa nebularia",2.25
"633","1983","Tringa nebularia",1
"634","1984","Tringa nebularia",0.75
"635","1985","Tringa nebularia",0.75
"636","1986","Tringa nebularia",1
"637","1987","Tringa nebularia",0.25
"638","1988","Tringa nebularia",0
"639","1989","Tringa nebularia",1.25
"640","1990","Tringa nebularia",1.25
"641","1991","Tringa nebularia",0.75
"642","1992","Tringa nebularia",0
"643","1993","Tringa nebularia",0.5
"644","1994","Tringa nebularia",1
"645","1995","Tringa nebularia",0.25
"646","1996","Tringa nebularia",0.75
"647","1997","Tringa nebularia",0.5
"648","1998","Tringa nebularia",0.25
"649","1999","Tringa nebularia",3.75
"650","2000","Tringa nebularia",1
"651","2001","Tringa nebularia",8
"652","2002","Tringa nebularia",8
"653","2003","Tringa nebularia",1.75
"654","2004","Tringa nebularia",1.5
"655","2005","Tringa nebularia",0
"656","2006","Tringa nebularia",0.25
"657","2007","Tringa nebularia",26
"658","2008","Tringa nebularia",17.5
"659","2009","Tringa nebularia",35.25
"660","2010","Tringa nebularia",27
"661","2011","Tringa nebularia",49.5
"662","2012","Tringa nebularia",39.5
"663","2013","Tringa nebularia",53
"664","2014","Tringa nebularia",37.25
"665","2015","Tringa nebularia",29.25
"666","1981","Calidris canutus",0
"667","1982","Calidris canutus",0.25
"668","1983","Calidris canutus",37.75
"669","1984","Calidris canutus",89
"670","1985","Calidris canutus",14.25
"671","1986","Calidris canutus",1.5
"672","1987","Calidris canutus",0
"673","1988","Calidris canutus",0.75
"674","1989","Calidris canutus",0
"675","1990","Calidris canutus",0.75
"676","1991","Calidris canutus",0
"677","1992","Calidris canutus",0
"678","1993","Calidris canutus",0
"679","1994","Calidris canutus",3
"680","1995","Calidris canutus",6.75
"681","1996","Calidris canutus",6.25
"682","1997","Calidris canutus",0
"683","1998","Calidris canutus",0
"684","1999","Calidris canutus",3.75
"685","2000","Calidris canutus",0
"686","2001","Calidris canutus",5.5
"687","2002","Calidris canutus",0
"688","2003","Calidris canutus",0
"689","2004","Calidris canutus",0
"690","2005","Calidris canutus",0
"691","2006","Calidris canutus",0
"692","2007","Calidris canutus",35.5
"693","2008","Calidris canutus",16
"694","2009","Calidris canutus",9
"695","2010","Calidris canutus",5.25
"696","2011","Calidris canutus",4.5
"697","2012","Calidris canutus",14.5
"698","2013","Calidris canutus",28.5
"699","2014","Calidris canutus",61.5
"700","2015","Calidris canutus",10.25
"701","1981","Calidris alpina",231.25
"702","1982","Calidris alpina",89.25
"703","1983","Calidris alpina",253
"704","1984","Calidris alpina",416.25
"705","1985","Calidris alpina",298.25
"706","1986","Calidris alpina",221
"707","1987","Calidris alpina",42.5
"708","1988","Calidris alpina",151
"709","1989","Calidris alpina",104.5
"710","1990","Calidris alpina",171
"711","1991","Calidris alpina",117.5
"712","1992","Calidris alpina",278.25
"713","1993","Calidris alpina",17.5
"714","1994","Calidris alpina",296
"715","1995","Calidris alpina",143.75
"716","1996","Calidris alpina",365
"717","1997","Calidris alpina",52.5
"718","1998","Calidris alpina",10.75
"719","1999","Calidris alpina",130
"720","2000","Calidris alpina",21.5
"721","2001","Calidris alpina",66
"722","2002","Calidris alpina",18.75
"723","2003","Calidris alpina",22.5
"724","2004","Calidris alpina",30.5
"725","2005","Calidris alpina",0
"726","2006","Calidris alpina",5.75
"727","2007","Calidris alpina",381.75
"728","2008","Calidris alpina",409
"729","2009","Calidris alpina",156.25
"730","2010","Calidris alpina",694.75
"731","2011","Calidris alpina",291.75
"732","2012","Calidris alpina",361.75
"733","2013","Calidris alpina",661.5
"734","2014","Calidris alpina",770.75
"735","2015","Calidris alpina",180
"736","1981","Anas querquedula",2.25
"737","1982","Anas querquedula",1
"738","1983","Anas querquedula",2
"739","1984","Anas querquedula",1.5
"740","1985","Anas querquedula",2
"741","1986","Anas querquedula",0.5
"742","1987","Anas querquedula",0
"743","1988","Anas querquedula",2.25
"744","1989","Anas querquedula",0.5
"745","1990","Anas querquedula",0
"746","1991","Anas querquedula",0.25
"747","1992","Anas querquedula",2.5
"748","1993","Anas querquedula",0.5
"749","1994","Anas querquedula",1.75
"750","1995","Anas querquedula",1.5
"751","1996","Anas querquedula",1
"752","1997","Anas querquedula",2.5
"753","1998","Anas querquedula",0
"754","1999","Anas querquedula",1.5
"755","2000","Anas querquedula",2.25
"756","2001","Anas querquedula",2.5
"757","2002","Anas querquedula",1
"758","2003","Anas querquedula",0
"759","2004","Anas querquedula",1.5
"760","2005","Anas querquedula",0
"761","2006","Anas querquedula",0
"762","2007","Anas querquedula",0
"763","2008","Anas querquedula",0.5
"764","2009","Anas querquedula",2
"765","2010","Anas querquedula",0
"766","2011","Anas querquedula",0
"767","2012","Anas querquedula",0.25
"768","2013","Anas querquedula",3
"769","2014","Anas querquedula",0.5
"770","2015","Anas querquedula",0
"771","1981","Tachybaptus ruficollis",0
"772","1982","Tachybaptus ruficollis",0
"773","1983","Tachybaptus ruficollis",8.5
