"","dates","sp_all","abundance_warm"
"77","1987","Calidris ferruginea",0
"78","1988","Calidris ferruginea",16.875
"79","1989","Calidris ferruginea",101.25
"80","1990","Calidris ferruginea",219.375
"81","1991","Calidris ferruginea",0
"82","1992","Calidris ferruginea",0
"83","1993","Calidris ferruginea",202.5
"84","1994","Calidris ferruginea",16.875
"85","1995","Calidris ferruginea",0
"86","1996","Calidris ferruginea",0
"87","1997","Calidris ferruginea",0
"88","1998","Calidris ferruginea",0
"89","1999","Calidris ferruginea",270
"90","2000","Calidris ferruginea",0
"91","2001","Calidris ferruginea",151.875
"92","2002","Calidris ferruginea",202.5
"93","2003","Calidris ferruginea",0
"94","2004","Calidris ferruginea",67.5
"95","2005","Calidris ferruginea",0
"96","2006","Calidris ferruginea",0
"97","2007","Calidris ferruginea",253.125
"98","2008","Calidris ferruginea",151.875
"99","2009","Calidris ferruginea",0
"100","2010","Calidris ferruginea",135
"101","2011","Calidris ferruginea",472.5
"102","2012","Calidris ferruginea",573.75
"103","2013","Calidris ferruginea",759.375
"104","2014","Calidris ferruginea",371.25
"105","2015","Calidris ferruginea",556.875
"106","1981","Calidris minuta",22.5
"107","1982","Calidris minuta",7.5
"108","1983","Calidris minuta",22.5
"109","1984","Calidris minuta",45
"110","1985","Calidris minuta",37.5
"111","1986","Calidris minuta",30
"112","1987","Calidris minuta",0
"113","1988","Calidris minuta",0
"114","1989","Calidris minuta",112.5
"115","1990","Calidris minuta",7.5
"116","1991","Calidris minuta",67.5
"117","1992","Calidris minuta",0
"118","1993","Calidris minuta",120
"119","1994","Calidris minuta",0
"120","1995","Calidris minuta",60
"121","1996","Calidris minuta",0
"122","1997","Calidris minuta",90
"123","1998","Calidris minuta",0
"124","1999","Calidris minuta",90
"125","2000","Calidris minuta",0
"126","2001","Calidris minuta",135
"127","2002","Calidris minuta",0
"128","2003","Calidris minuta",0
"129","2004","Calidris minuta",60
"130","2005","Calidris minuta",0
"131","2006","Calidris minuta",0
"132","2007","Calidris minuta",585
"133","2008","Calidris minuta",330
"134","2009","Calidris minuta",210
"135","2010","Calidris minuta",420
"136","2011","Calidris minuta",7.5
"137","2012","Calidris minuta",180
"138","2013","Calidris minuta",262.5
"139","2014","Calidris minuta",645
"140","2015","Calidris minuta",172.5
"141","1981","Calidris alba",0
"142","1982","Calidris alba",0
"143","1983","Calidris alba",0
"144","1984","Calidris alba",0
"145","1985","Calidris alba",0
"146","1986","Calidris alba",0
"147","1987","Calidris alba",0
"148","1988","Calidris alba",0
"149","1989","Calidris alba",0
"150","1990","Calidris alba",0
"151","1991","Calidris alba",48.75
"152","1992","Calidris alba",0
"153","1993","Calidris alba",0
"154","1994","Calidris alba",0
"155","1995","Calidris alba",0
"156","1996","Calidris alba",0
"157","1997","Calidris alba",0
"158","1998","Calidris alba",0
"159","1999","Calidris alba",0
"160","2000","Calidris alba",0
"161","2001","Calidris alba",0
"162","2002","Calidris alba",0
"163","2003","Calidris alba",0
"164","2004","Calidris alba",0
"165","2005","Calidris alba",0
"166","2006","Calidris alba",0
"167","2007","Calidris alba",0
"168","2008","Calidris alba",16.25
"169","2009","Calidris alba",16.25
"170","2010","Calidris alba",16.25
"171","2011","Calidris alba",16.25
"172","2012","Calidris alba",16.25
"173","2013","Calidris alba",48.75
"174","2014","Calidris alba",48.75
"175","2015","Calidris alba",0
"176","1981","Calidris temminckii",0
"177","1982","Calidris temminckii",0
"178","1983","Calidris temminckii",0
"179","1984","Calidris temminckii",0
"180","1985","Calidris temminckii",0
"181","1986","Calidris temminckii",0
"182","1987","Calidris temminckii",0
"183","1988","Calidris temminckii",0
"184","1989","Calidris temminckii",0
"185","1990","Calidris temminckii",0
"186","1991","Calidris temminckii",0
"187","1992","Calidris temminckii",0
"188","1993","Calidris temminckii",6.125
"189","1994","Calidris temminckii",0
"190","1995","Calidris temminckii",0
"191","1996","Calidris temminckii",0
"192","1997","Calidris temminckii",0
"193","1998","Calidris temminckii",0
"194","1999","Calidris temminckii",0
"195","2000","Calidris temminckii",0
"196","2001","Calidris temminckii",0
"197","2002","Calidris temminckii",0
"198","2003","Calidris temminckii",0
"199","2004","Calidris temminckii",0
"200","2005","Calidris temminckii",0
"201","2006","Calidris temminckii",0
"202","2007","Calidris temminckii",18.375
"203","2008","Calidris temminckii",0
"204","2009","Calidris temminckii",0
"205","2010","Calidris temminckii",18.375
"206","2011","Calidris temminckii",18.375
"207","2012","Calidris temminckii",36.75
"208","2013","Calidris temminckii",12.25
"209","2014","Calidris temminckii",12.25
"210","2015","Calidris temminckii",0
"211","1981","Philomachus pugnax",0
"212","1982","Philomachus pugnax",0
"213","1983","Philomachus pugnax",27.5
"214","1984","Philomachus pugnax",0
"215","1985","Philomachus pugnax",137.5
"216","1986","Philomachus pugnax",55
"217","1987","Philomachus pugnax",0
"218","1988","Philomachus pugnax",0
"219","1989","Philomachus pugnax",0
"220","1990","Philomachus pugnax",55
